Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2000-01-01;3,9;11;0;33,7;28,7;25,2;59;41;4,2;
2000-01-02;5,6;11,8;0;33,9;29,1;25,4;58;32;2,8;
2000-01-03;5,3;5,9;0;33,2;28,7;26;62,5;45;2,3;
2000-01-04;4,5;3,8;0;31,6;28,6;26,9;63,8;54;1,9;
2000-01-05;4,4;6,2;,1;32,4;27,4;25,4;74;65;3,3;
2000-01-06;3,4;7,9;20;31,7;27,6;24,7;72;53;2,2;
2000-01-07;3;8,4;78,3;30,9;27;24,2;75,8;61;2,3;
2000-01-08;2,6;10,3;6;32,1;26,9;24,9;72,5;53;2;
2000-01-09;3,2;9,2;15,7;30,9;27,6;24,8;71;58;1,7;
2000-01-10;2,7;10,2;,2;31,7;28,3;26,8;68,8;54;5,8;
2000-01-11;3;3,1;,2;31,6;28,1;26,2;64,3;45;4,4;
2000-01-12;3,7;11,2;0;33,1;28,2;25,4;66;46;3,7;
2000-01-13;3,9;6,4;0;32,1;28,3;25,6;65,3;48;5,5;
2000-01-14;4;7,9;0;32,7;28,7;26,5;64,3;45;4;
2000-01-15;3,7;1,8;,8;30,5;27,4;26,3;75,8;64;2,3;
2000-01-16;2;7;6,2;31,1;27,8;25,4;71,8;61;3,2;
2000-01-17;2,6;6,1;0;31,1;27,9;26,2;74,8;59;2;
2000-01-18;2,8;11,2;1,6;31,5;28,1;25,7;68,3;53;3,4;
2000-01-19;3,5;9,3;0;32;28,2;26,1;64,8;55;2,9;
2000-01-20;3,4;9,5;0;32,5;28,3;26,2;67,3;48;3,3;
2000-01-21;3,4;7,7;0;32,1;28;26,4;69;51;3,4;
2000-01-22;2,8;7,1;21,9;29,4;27,3;26,3;78,5;69;3,7;
2000-01-23;2,2;10,3;5,6;31,6;28,2;26;67;53;2,7;
2000-01-24;3,4;10,6;0;31,9;28,4;25,7;64,5;52;5;
2000-01-25;3,7;10,4;0;32,4;28,2;26,3;62,5;45;4,4;
2000-01-26;4,1;10,8;0;32,9;28,6;25,5;62;45;4,4;
2000-01-27;4,5;10,5;0;33,1;28,5;26,5;65;48;5,5;
2000-01-28;4,1;11;0;33,8;29,2;26,6;63,8;42;4,4;
2000-01-29;4,1;10,4;0;33,4;28,9;26,3;62;44;5,3;
2000-01-30;5,1;6,4;,8;31,3;28;26,3;68;52;3,7;
2000-01-31;3,4;10,4;0;33,5;29,1;25,4;58,5;41;5,5;
2000-02-01;4,9;11,2;0;34,3;29,7;26,3;57,5;38;5,1;
2000-02-02;4,8;8,1;0;34;29;26,3;60,8;41;2,5;
2000-02-03;3,7;8,8;0;33,3;29;26,7;64,3;46;4,4;
2000-02-04;4,1;7,5;0;33,5;29,2;27;62;42;5,9;
2000-02-05;4,1;9,9;0;33,8;29,1;26,8;64;43;6,6;
2000-02-06;4,3;10,6;0;33,7;29,1;25,2;58;41;6,1;
2000-02-07;4,9;8,8;0;33,8;28,2;26,1;69,5;47;3,2;
2000-02-08;3,2;1,8;5,7;28,3;26;25;79,3;76;3,2;
2000-02-09;2,2;3,3;4,9;30,5;27,1;25;70,5;55;6,1;
2000-02-10;3,2;9,6;0;33,1;28,3;25,3;64,8;39;4,1;
2000-02-11;3,6;11,2;4,4;32,3;28,1;26,4;71,8;51;4,4;
2000-02-12;3,7;10,3;1;32,8;28,2;26;64,8;41;4,8;
2000-02-13;4,2;9,2;0;32,9;28,3;25,8;63,8;43;5,4;
2000-02-14;4,2;6,4;0;31,8;26,8;25,2;74,3;51;5;
2000-02-15;2,9;4,8;4,8;30,7;27,2;25,2;78,3;76;4,8;
2000-02-16;2,5;5,5;0;30,2;26,7;25,4;83,5;74;1,4;
2000-02-17;1,6;7,1;24,4;30,8;27;25,4;75,8;62;3,7;
2000-02-18;2,1;7,5;1,3;30,5;27,3;25,4;72;61;4,4;
2000-02-19;2,8;10,9;0;31,7;27,8;25,6;64,8;53;2,7;
2000-02-20;3;7;0;31,1;26,6;24,6;75,5;60;2,1;
2000-02-21;2,4;10,2;9,3;30,5;26,9;24,3;74,5;62;1,6;
2000-02-22;2,4;9,4;0;31,5;27,4;25,7;74;58;2,4;
2000-02-23;2,3;4,8;59,9;28,3;26,1;24,6;86,5;82;1,8;
2000-02-24;1,2;10,2;8,4;30,4;27,1;25;75,3;67;2,8;
2000-02-25;2,2;6,5;0;30,1;26,9;25,2;78,8;75;2,4;
2000-02-26;2,4;6,5;0;29,4;26,3;24,7;80,5;71;2,8;
2000-02-27;1,8;8,4;37,1;30,4;27;24,6;78;66;2,8;
2000-02-28;2,2;10,5;2,9;30,4;27,5;25,5;72,5;64;3,1;
2000-02-29;2,6;9,1;0;30,9;27,5;24;78,5;73;3,5;
2000-03-01;2,6;8,8;0;30,7;28,1;26,4;81,3;72;3,8;
2000-03-02;2,4;8,4;,8;31,1;28,3;26,8;82,3;73;2,5;
2000-03-03;3;10,7;,1;31,2;28,1;25,8;81,8;76;3,1;
2000-03-04;3,1;8,8;0;31,7;28,6;26,5;83,8;74;2,8;
2000-03-05;3,1;10,2;0;31,9;28,6;26,4;78,5;72;3,2;
2000-03-06;3;9,7;5;31,9;28,6;26,9;82,5;77;2,7;
2000-03-07;3;9,5;0;31,7;28,4;26,4;83;71;1,9;
2000-03-08;3,1;7,6;0;31,2;28,6;26,4;84,3;76;5,9;
2000-03-09;3;6,1;0;30,7;28,1;26,7;86,8;83;3,8;
2000-03-10;2,3;6,1;1,7;30,7;27,7;25,7;90;86;2,2;
2000-03-11;2,1;9,9;,5;31,5;28,1;26,1;83,5;78;4,6;
2000-03-12;2,9;9,9;0;31,1;28;25,4;81,8;76;3,3;
2000-03-13;3,1;9,1;0;31,7;28,4;26,2;83,8;74;4;
2000-03-14;3,1;9,7;0;31,7;28,4;26,5;81,5;71;5,8;
2000-03-15;3,3;9,2;0;32,5;28,7;25,9;80,5;70;3,4;
2000-03-16;3,9;10,2;0;32,5;28,9;25,7;78;70;4,1;
2000-03-17;4;8,9;,1;32,5;29,3;27,2;76;63;3,8;
2000-03-18;4,2;7,9;0;32,7;28,5;26,5;81,5;71;3,8;
2000-03-19;3,2;6,9;26,2;30,3;27,5;26,1;86;82;4,3;
2000-03-20;2,3;10,7;8;31,5;28,2;25,6;86;79;3,7;
2000-03-21;2,9;10,6;0;31,3;28,4;26,4;80;73;3,7;
2000-03-22;3,7;10,8;0;32,7;28,8;26;80,3;68;3,2;
2000-03-23;3,8;10,8;0;32,5;29,2;26,2;78;67;4,8;
2000-03-24;3,9;9,6;2,7;32,8;29,3;26,7;80,3;70;5,5;
2000-03-25;3,9;10,9;0;32,9;28;26;82;73;5,5;
2000-03-26;3,4;9,7;12,2;31,8;28,6;25,4;83;73;3,4;
2000-03-27;3,1;6,3;0;31,6;28,3;27;83;73;4,8;
2000-03-28;2,5;8,7;,6;32,2;27,4;25,8;86,8;77;2,2;
2000-03-29;2,6;1,6;10,2;29,4;27;24,9;90;84;1,7;
2000-03-30;1,8;4,5;0;29,2;26,9;25,6;90,5;87;3,5;
2000-03-31;1,5;7,6;5,7;30,1;27;25;87,3;77;2,9;
2000-04-01;2,3;9,8;0;31,6;28,2;26;83,8;72;4,5;
2000-04-02;2,8;7,7;0;31,7;27,7;25,9;87,5;82;6,2;
2000-04-03;2,4;10,7;10,8;30,8;27,6;25,3;84,8;76;4;
2000-04-04;2,8;10,5;0;32,3;27,9;26,1;81,8;68;4,7;
2000-04-05;3,1;11,1;1,3;32;28,2;25,4;81;70;3,5;
2000-04-06;3,3;8,4;,3;31,9;28,3;26,3;85,3;78;3,2;
2000-04-07;2,9;8,1;25,8;29,7;27;25,4;86,5;81;3,6;
2000-04-08;2,4;10,5;1,3;31,7;26,6;24,5;87,8;80;5,2;
2000-04-09;2,3;7,5;43,7;30,3;26,9;24,2;89,5;81;1,8;
2000-04-10;1,9;9,1;1,3;31;27,8;25,8;88,5;82;3;
2000-04-11;2,1;10,3;40,3;31,1;27,1;25,6;88,3;83;3,5;
2000-04-12;2;9,5;10,3;31,3;27,9;25,3;89;77;2,2;
2000-04-13;1,8;6,3;,1;30,2;27;25,7;91,8;83;1,9;
2000-04-14;1,7;6,7;17,8;29,9;27,5;25,1;92,3;88;2,5;
2000-04-15;1,5;8,9;105,4;30,8;27,2;25,1;91,3;83;1;
2000-04-16;1,5;7,7;2,9;30,2;26,6;24,9;91,8;88;3,9;
2000-04-17;1,3;6,1;7;30,4;26,7;24,8;91,8;83;1,8;
2000-04-18;1,4;9,5;1,8;30,4;27,5;25,4;90,3;84;1,9;
2000-04-19;2;9,1;0;31;28;26,2;87,3;76;3,6;
2000-04-20;2,3;9,9;,8;31,3;28,1;26,3;87,3;78;2,8;
2000-04-21;2,4;10,5;1,4;31,3;28,1;26,2;87,5;78;3,6;
2000-04-22;2,3;10,6;0;31,8;28,1;26,1;85,8;73;2,7;
2000-04-23;2,5;7,8;0;30,7;27,9;25,8;91,5;88;3,7;
2000-04-24;2;7,6;10,2;30,5;26,7;25;91,3;90;3,8;
2000-04-25;1,9;7,1;20,4;29,9;26,8;25,2;88,5;79;4,2;
2000-04-26;2,1;7,3;5,5;29,3;27,2;25;88,5;81;3,4;
2000-04-27;2,2;10,3;1,8;30,1;27,8;25,9;84,8;77;3;
2000-04-28;2,5;6;0;30,2;27;25,8;87,3;81;4,3;
2000-04-29;2,6;4,8;,1;31;27,2;25,4;91;83;3,6;
2000-04-30;1,9;10;16,7;29,8;26,9;25;87;75;2;
2000-05-01;2,1;9,7;0;30,3;27,5;25,4;85;75;1,7;
2000-05-02;2,5;9,6;0;31,1;26,8;25;85,5;74;3,7;
2000-05-03;2,6;10,4;30,9;29,8;27,1;24,7;87,5;80;4;
2000-05-04;2;10,2;0;30,5;27,7;25,4;87,8;78;2,7;
2000-05-05;2;2,6;4;28,6;25,6;24,4;90,5;86;2,5;
2000-05-06;1,7;10,1;10,6;29,9;26,9;24,3;90,3;84;2,8;
2000-05-07;1,8;10,2;,8;30,5;27,5;25,3;89,8;85;2,4;
2000-05-08;2;9,3;,1;30,9;27,8;26;90;85;4,7;
2000-05-09;1,7;10,2;,1;31,2;27,6;25,4;86,3;80;4,7;
2000-05-10;2,3;6,4;0;30,4;27,6;26;89;86;2,8;
2000-05-11;1,7;6,6;0;30,4;27,6;25,4;88,5;85;4,2;
2000-05-12;2,1;9,7;0;30,9;27,8;25,1;83,3;76;2,8;
2000-05-13;3,1;8,5;,8;30,4;27,6;25,7;86,3;79;3,3;
2000-05-14;2,4;6,5;2,8;30,2;27;25,1;88,3;82;3,3;
2000-05-15;2,2;7,8;21,3;29,9;27,6;25,5;82,3;73;4,4;
2000-05-16;2,6;8;0;30,7;27,8;25,5;86;80;2,5;
2000-05-17;2,7;4,4;14,5;29,9;27,2;26;90;80;3,8;
2000-05-18;1,8;8,1;0;30,7;27,5;26,1;90;83;3,9;
2000-05-19;2,3;9,5;0;30,8;27,4;25,1;86,3;79;4,7;
2000-05-20;2,5;10,3;0;30,9;27,4;25,3;87,3;79;3,4;
2000-05-21;2,8;10,7;0;31,3;27,7;25,4;84,8;73;4,2;
2000-05-22;3;10,3;0;31,5;27,4;24,9;84,5;73;4;
2000-05-23;2,9;5,4;0;30,1;26,8;24,7;84,5;77;4;
2000-05-24;2,7;10,6;0;30,2;27;24;83;77;4,9;
2000-05-25;1,9;9,8;4,1;31,4;26,3;24,8;84;74;2,5;
2000-05-26;2,3;10,8;1,7;31,4;26,5;24,3;86,5;76;3,1;
2000-05-27;2,7;9,2;0;32,1;26,7;24,4;82,8;69;2,9;
2000-05-28;2,4;9,3;,4;32,1;26,4;24,4;86;71;2,9;
2000-05-29;2,5;9,2;1,2;32,4;26,7;24,8;83;73;3,5;
2000-05-30;2,7;8,5;0;32,3;27,6;26,4;79,5;74;4,3;
2000-05-31;3,1;3,7;26,8;31,2;26,8;25,2;81,8;74;3,6;
2000-06-01;2,4;9,8;5,5;31,4;27,6;26;89,3;83;null;
2000-06-02;2,6;10,1;0;32,5;27,6;24,9;90,8;84;null;
2000-06-03;3,8;10,6;0;31,9;27,3;24,3;85,8;74;null;
2000-06-04;4,6;10,8;0;32,3;27,1;24,2;86,5;78;null;
2000-06-05;4,4;9,9;0;32,3;27,3;23;89,3;86;null;
2000-06-06;3,9;7,6;0;30,9;27,9;24,8;90;87;null;
2000-06-07;3,3;7,3;0;30,9;28;25,6;89;84;null;
2000-06-08;3,6;3,7;1;30,7;27,1;25,1;88;89;null;
2000-06-09;2,9;4,4;19,7;29;27;25,6;91,5;87;null;
2000-06-10;2,4;5;0;29,5;26,8;25;87,5;82;null;
2000-06-11;2,5;8,5;3,4;30,3;27,2;24,5;92,5;86;null;
2000-06-12;2,6;10,3;0;32;27,7;25,3;89,5;83;null;
2000-06-13;3,1;10,8;0;31,8;27,8;25;90,3;82;null;
2000-06-14;3,2;5,1;0;30,9;27,5;25,8;90,5;85;null;
2000-06-15;2,8;4,7;,6;29,8;26,9;25,3;93,5;88;null;
2000-06-16;1,9;7,5;42,3;29,9;26,5;23,7;93,5;89;null;
2000-06-17;2;10,4;2,5;31,1;27,5;25,3;92;89;null;
2000-06-18;2,2;10,5;0;31,9;27,7;24,7;88,8;80;null;
2000-06-19;3,7;7,8;0;31,1;27,7;25,4;88,5;84;null;
2000-06-20;3;10,1;0;31,9;27,8;25,8;88,3;82;null;
2000-06-21;3,6;9,5;0;32,3;27,5;24,3;91;86;null;
2000-06-22;3,2;10,5;0;32,8;28,3;25,1;90,3;83;null;
2000-06-23;3,6;10,1;0;31,5;28;24,9;87,5;78;null;
2000-06-24;3,7;10,8;0;32,4;27,7;23;82,8;72;null;
2000-06-25;4,9;7;0;30,7;27,1;23,8;83;77;null;
2000-06-26;4;4,9;0;30,2;26,6;25;87;76;null;
2000-06-27;2,6;4,9;1,7;30,7;26,8;24,3;87,8;78;null;
2000-06-28;3,3;6,1;0;31,6;27,7;25,1;78,8;68;null;
2000-06-29;4,7;2,4;0;30,1;26,6;24,3;84,5;79;null;
2000-06-30;3,7;2;0;30,2;26,8;24,6;87;78;null;
2000-07-01;2,9;0;1,2;26,9;24,9;24;92,8;89;null;
2000-07-02;1,9;3,8;,3;30,3;27;23,6;83,5;72;null;
2000-07-03;3,5;6,2;0;32,1;27,8;25,1;78,8;73;null;
2000-07-04;4,4;1,7;0;30,4;27,1;25,1;81,5;78;null;
2000-07-05;3,8;9,5;0;31,6;27,5;24,2;81,3;73;null;
2000-07-06;4,1;9,1;5,3;32;27,7;24;75,8;65;null;
2000-07-07;5;8,1;0;32,6;27,9;23,8;75,5;63;null;
2000-07-08;4,2;5,3;0;32,7;28,4;25,5;69;52;null;
2000-07-09;6,4;6,4;0;31,9;28,3;25;68,3;61;null;
2000-07-10;6,8;5,5;0;30,9;27,4;25;76,5;69;null;
2000-07-11;3,6;5,1;2,6;31,7;27,8;25,4;81,5;69;null;
2000-07-12;2,8;,5;3,5;29,7;26,7;25,8;85;78;null;
2000-07-13;2,9;7,4;0;31,9;27,4;24,8;85,3;74;null;
2000-07-14;4;8,9;0;32,2;28,1;24,3;78,3;69;null;
2000-07-15;5,2;7,4;,3;32;28,1;25;82;72;null;
2000-07-16;4,5;10,7;0;33,7;27,9;24,8;81,3;67;null;
2000-07-17;6,5;9,6;0;33,3;27,6;24,4;79,3;65;null;
2000-07-18;5,8;8,8;0;32,8;27,7;24,8;75,3;60;null;
2000-07-19;6,1;8,5;0;33,5;27,7;24,2;67,8;62;null;
2000-07-20;5,4;4,6;0;31,6;27,2;24;77,8;64;null;
2000-07-21;5;7,4;1;31,9;27,5;24,8;82,3;73;null;
2000-07-22;5,3;8,7;8,1;31,9;27,9;25,3;70;53;null;
2000-07-23;5,9;10,7;0;32,5;27,5;24,2;58,8;13;null;
2000-07-24;6;8,4;0;33,7;28;24,4;73;53;null;
2000-07-25;7,6;5,3;0;32,6;28,1;25,2;71;58;null;
2000-07-26;6,5;10,3;0;32,6;28;24,9;76,8;64;null;
2000-07-27;5;4,1;,5;30,8;27,3;25,5;79,5;67;null;
2000-07-28;3,2;6,8;3,8;30,8;27;24,6;69,8;60;null;
2000-07-29;5,9;10,8;0;32,1;27,4;24;65,5;49;null;
2000-07-30;5,6;8,4;0;32,5;28,1;24,2;67;55;null;
2000-07-31;7;7,3;0;31,9;27,6;24,1;75,8;64;null;
2000-08-01;4,5;1,6;4,7;30,1;26,4;24,9;83,3;77;null;
2000-08-02;2,4;2,7;66,9;29,6;26;23,6;78,5;72;null;
2000-08-03;3,5;7,4;0;30,6;26,7;24,5;73,3;59;null;
2000-08-04;3,5;10,5;0;32,1;27,3;24;74,8;58;null;
2000-08-05;3,5;9,7;0;32,2;27,2;24;75;57;null;
2000-08-06;3,9;4,2;3,5;28,3;26,1;24,3;86,5;78;null;
2000-08-07;2,3;4,9;,8;29,5;26;24,6;85,5;71;null;
2000-08-08;2,6;4,9;1;29,5;26,2;23,9;90,5;80;null;
2000-08-09;2,4;5,5;4,1;28,1;26;24,8;90;87;null;
2000-08-10;1,9;10,9;10,7;31,5;26,9;23;75,5;67;null;
2000-08-11;4,8;10,9;0;31,3;26,6;23,3;79,8;67;null;
2000-08-12;4,3;10,5;0;31,6;26,5;23,1;79,3;66;null;
2000-08-13;3,8;10,7;0;32;26,9;23,3;79;59;null;
2000-08-14;4,1;8,4;0;31,7;27,3;23,4;75,8;70;null;
2000-08-15;5;10,5;0;31,9;27,4;24,3;73,8;60;null;
2000-08-16;5,6;10,6;0;31,5;27;22,6;76,8;64;null;
2000-08-17;4,5;10,4;0;32,9;27,8;23,8;76;63;null;
2000-08-18;6,1;11,1;0;32,7;28,2;24,5;72,5;58;null;
2000-08-19;6,2;8,9;0;31,4;27,9;25,4;79,8;69;null;
2000-08-20;4,1;7,6;0;31,4;27,1;24,2;78;64;null;
2000-08-21;4,8;9,6;0;32,3;28,4;24;65,5;60;null;
2000-08-22;6,2;11;0;33,2;28,2;24,7;75,3;57;null;
2000-08-23;6,1;11,2;0;32,9;28,3;23,9;75,8;64;null;
2000-08-24;5,4;6,5;0;30,8;27,4;25,3;78;67;null;
2000-08-25;3,9;10,8;0;33;28;23,8;73,5;55;null;
2000-08-26;6,2;8,3;0;31,3;27,1;23,7;79,5;68;null;
2000-08-27;4,4;11,2;0;32,7;27,4;23,1;78;62;null;
2000-08-28;5,3;10,7;0;32,9;27,8;24;77,8;63;null;
2000-08-29;4,8;10,6;0;33,7;28;24,4;76;57;null;
2000-08-30;5,3;9,9;0;33,2;28,1;24,4;76,5;63;null;
2000-08-31;5,1;10,5;0;33;27,9;23,6;74;60;null;
2000-09-01;5,8;10,6;0;33,1;27,9;23,2;74,3;64;null;
2000-09-02;5,8;9,5;0;33,2;27,8;24,2;75,8;63;null;
2000-09-03;4,9;10,8;0;33,4;27,4;22,6;77,8;65;null;
2000-09-04;4,8;10;0;33,5;27,8;23,6;77;60;null;
2000-09-05;4,4;9,7;0;32,9;27,6;24,2;77,5;67;null;
2000-09-06;4,6;9,4;0;33,2;27,7;24,1;80;69;null;
2000-09-07;4,3;7,4;0;33,1;28,1;25,2;74,5;57;null;
2000-09-08;4,4;9,8;0;33,6;28,2;24,9;78,5;66;null;
2000-09-09;4,6;5,7;,1;32,3;28,3;24,7;69,5;63;null;
2000-09-10;5,3;8,2;0;32,5;28;25,1;72,3;64;null;
2000-09-11;5;10,3;0;33,1;27,9;23,8;76,5;66;null;
2000-09-12;5,2;6,4;,3;32,3;27,3;24,8;84;72;null;
2000-09-13;3,5;10;4,7;32,5;28,2;25;76,3;64;null;
2000-09-14;5,5;7,3;0;32,8;27,9;24,8;75;65;null;
2000-09-15;5,2;5,7;0;32,3;27,2;23,7;81;67;null;
2000-09-16;7;10,6;5,3;32,3;28,4;25,4;79,5;66;null;
2000-09-17;4,5;1,7;0;28,8;26,9;25,1;89,5;79;null;
2000-09-18;2,4;10,4;11,2;32;27,9;24,4;77,3;63;null;
2000-09-19;7,8;8,8;,3;32,5;27,9;24,3;74;66;null;
2000-09-20;7;10,9;0;32,9;28;24,3;77;62;null;
2000-09-21;6,6;11,1;0;33,9;28,5;24,2;77,3;64;null;
2000-09-22;8;11,3;0;36,9;28,2;24;80,8;60;null;
2000-09-23;9,6;10,1;0;35,2;27,8;22,3;84,3;73;null;
2000-09-24;7,9;7,1;0;34,7;26,7;22,9;89;75;null;
2000-09-25;7,7;11;0;36,5;27,8;21,9;85,5;72;null;
2000-09-26;9,9;10,4;0;36,1;28;23,3;82,8;70;null;
2000-09-27;10;10,3;0;34,9;27,2;21,8;82,5;67;null;
2000-09-28;10;9,9;0;35,7;27,4;21,9;84,8;74;null;
2000-09-29;9,9;11;0;36;28,1;23,2;81,8;65;null;
2000-09-30;11,7;10,1;0;35,5;28,9;23;73,3;65;null;
2000-10-01;null;10,9;0;35,9;27,5;21,9;83,5;67;null;
2000-10-02;null;11;0;36,1;27,7;22;82;66;null;
2000-10-03;null;11,1;0;36,2;27,5;22;85;78;null;
2000-10-04;null;11;0;36,9;27,8;21,1;80,8;66;null;
2000-10-05;null;10,7;0;36,5;27,6;22,2;84;69;null;
2000-10-06;null;10,1;0;35,4;27,1;21,7;83;68;null;
2000-10-07;null;10,9;0;36;27,3;21,6;80,5;67;null;
2000-10-08;null;10,6;0;35,9;27,4;21;83;74;null;
2000-10-09;null;10,6;0;36,1;27,8;22,3;82,8;70;null;
2000-10-10;null;10,8;0;36,6;28,5;23,4;80;64;null;
2000-10-11;null;10,7;0;35,8;29,9;24;73;72;null;
2000-10-12;null;10,5;0;35,9;29,2;23,5;70,8;59;null;
2000-10-13;null;8,9;0;35,9;28,8;22,9;78,3;71;null;
2000-10-14;null;10,5;0;36,6;27,8;21,9;83;73;null;
2000-10-15;null;11,1;0;36,8;28,3;23;82,3;69;null;
2000-10-16;null;10,9;0;36,3;28,2;23,4;82,8;70;null;
2000-10-17;null;11,1;0;37,2;29,1;23,8;76,8;68;null;
2000-10-18;null;10,5;0;36,1;28,6;23,4;80,5;70;null;
2000-10-19;null;10,9;0;36,5;28,3;23,6;82;69;null;
2000-10-20;null;11,1;0;35,9;27,5;22,3;84,5;72;null;
2000-10-21;null;10,1;0;35,4;27,5;22,6;85,5;74;null;
2000-10-22;null;10,1;0;36,7;28,1;23,4;83,8;69;null;
2000-10-23;null;10,2;0;36,4;28,6;22,4;77,3;65;null;
2000-10-24;null;10,7;0;35,9;28,6;22,3;73,3;65;null;
2000-10-25;null;10,6;0;37,1;28,4;22,5;80,8;70;null;
2000-10-26;null;8,7;0;35,5;28,2;22,6;78,5;72;null;
2000-10-27;null;9,2;0;35,5;27,6;22,4;78;61;null;
2000-10-28;null;9,4;0;36,6;28;22;78;65;null;
2000-10-29;null;8,9;0;36,7;28;22,2;78,8;64;null;
2000-10-30;null;10,5;0;36,5;28,2;23,1;76,3;60;null;
2000-10-31;null;9,4;0;36,9;28,4;23,4;78,5;66;null;
2000-11-01;null;11,1;0;37,1;28,2;22,7;76,3;59;null;
2000-11-02;null;11;0;36,9;28,4;22,8;76;66;null;
2000-11-03;null;10,4;0;36,4;28,4;23,3;76;63;null;
2000-11-04;null;9,5;0;36,4;27,9;23,1;74,3;54;null;
2000-11-05;null;10,3;,2;35,6;27,9;23,1;75,5;56;null;
2000-11-06;null;11,1;0;36,3;28,3;23;72;60;null;
2000-11-07;null;10,5;0;35,5;27,7;22,6;74,5;63;null;
2000-11-08;null;8,1;0;34,7;27,5;22,6;72,3;64;null;
2000-11-09;null;2,6;0;32,3;27,2;24,1;80,5;67;null;
2000-11-10;null;2,1;,9;34;27,5;23,6;78;70;null;
2000-11-11;null;9,1;0;36,1;28,4;24;73,3;60;null;
2000-11-12;null;11;0;36,8;27,8;22;73,3;50;null;
2000-11-13;null;10,9;0;36,6;27,8;22,2;72,8;55;null;
2000-11-14;null;11,5;0;36,7;27,7;21,6;69;50;null;
2000-11-15;null;11,6;0;36,9;27,6;21,3;69,8;52;null;
2000-11-16;null;11,6;0;36,7;27,8;21,3;72;54;null;
2000-11-17;null;9,7;0;36,2;27,7;23;71,5;48;null;
2000-11-18;null;10,9;,3;37,3;28,7;23,8;72;54;null;
2000-11-19;null;11,3;0;35,5;27,8;22,5;73,8;58;null;
2000-11-20;null;11,5;0;36,3;28,3;22,7;74,3;63;null;
2000-11-21;null;10,7;0;36,8;28,3;23,4;75,3;62;null;
2000-11-22;null;11,3;0;36,8;28;22,4;72,3;60;null;
2000-11-23;null;11,7;0;37,5;28,5;23,2;70;52;null;
2000-11-24;null;11,5;0;36,9;28,1;22,3;75,5;60;null;
2000-11-25;null;10;0;37,1;27,9;21,6;79,5;65;null;
2000-11-26;null;7,8;0;36,1;28,7;24,4;75,3;61;null;
2000-11-27;null;9,1;0;36,5;28,7;24;70,5;48;null;
2000-11-28;null;10,7;0;37,3;29,5;24,1;63;51;null;
2000-11-29;null;11,5;0;36,6;28,4;21,9;70,8;47;null;
2000-11-30;null;8,5;0;35,1;28,6;23,7;74;62;null;
2000-12-01;null;11;0;37,1;28,5;23,1;72,8;56;null;
2000-12-02;null;11;0;36,6;28,1;22,3;73,3;54;null;
2000-12-03;null;11,1;0;36,8;28,3;22,5;70;50;null;
2000-12-04;null;11,4;0;36,1;27,7;21,8;69;47;null;
2000-12-05;null;11,2;0;36,2;28,1;22,2;71,5;54;null;
2000-12-06;null;10,7;0;36,9;28,6;22,7;71;50;null;
2000-12-07;null;11,1;0;37,1;28,3;22,3;74,5;60;null;
2000-12-08;null;10,6;0;36,8;28,3;22;72,3;51;null;
2000-12-09;null;9,9;0;36,7;28,1;22,2;73,8;57;null;
2000-12-10;null;9,2;0;34,7;28,1;22,6;70,3;61;null;
2000-12-11;null;6,5;0;34,5;27,9;23,7;76,8;63;null;
2000-12-12;null;6,1;0;36,3;28,8;24,3;73,3;55;null;
2000-12-13;null;6,4;0;35;28,8;24,6;73;56;null;
2000-12-14;null;1,7;0;33,5;27,4;25;84,8;75;null;
2000-12-15;null;0;9,7;null;23,8;23,1;97;92;null;
2000-12-16;null;0;6,4;26,9;24,1;22,3;92,3;87;null;
2000-12-17;null;0;,1;30,2;26,5;24,9;88,5;81;null;
2000-12-18;null;6,1;,4;34,8;28;23,6;85;70;null;
2000-12-19;null;10,4;0;36,1;28;23,6;78,5;60;null;
2000-12-20;null;11,7;0;36,4;28;22,2;77,3;59;null;
2000-12-21;null;9,9;0;36,1;28,4;23,7;79,3;68;null;
2000-12-22;null;10,4;0;36,6;28,4;23;79,3;62;null;
2000-12-23;null;10,6;0;36,7;29,1;25,3;75;57;null;
2000-12-24;null;9,9;0;36,3;28,2;23,1;78,8;65;null;
2000-12-25;null;10,6;0;36,2;28;21,8;74,5;58;null;
2000-12-26;null;10;0;37,1;28,8;23,1;75,5;56;null;
2000-12-27;null;10,5;0;36,2;28,6;24;75,3;62;null;
2000-12-28;null;11,4;0;37,3;28,4;22,9;73,8;58;null;
2000-12-29;null;10,7;0;36,4;28,6;23,6;74,5;56;null;
2000-12-30;null;9,8;0;36,3;28,7;24;75,8;63;null;
2000-12-31;null;9,7;null;36,2;28,4;23,1;74,5;54;null;
2001-01-01;null;10,7;0;37,5;28,5;22,6;75,8;60;null;
2001-01-02;null;11,5;0;37,1;29;24,5;74,3;63;null;
2001-01-03;null;8,9;0;36,7;29,6;23,9;67,5;57;null;
2001-01-04;null;1,1;0;33,5;28,1;25,8;75,8;62;null;
